,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
218,1,female,39.0,0,0,108.9,C105,C,Other
585,2,male,27.0,1,0,26.0,,S,Mr
944,3,male,,0,0,7.8958,,S,Mr
841,3,female,17.0,0,0,7.7333,,Q,Miss
879,3,male,,0,0,7.8958,,S,Mr
414,2,male,34.0,1,0,21.0,,S,Mr
205,1,male,65.0,0,0,26.55,E38,S,Mr
1061,3,female,26.0,0,0,7.8542,,S,Miss
497,2,male,40.0,0,0,16.0,,S,Mr
516,2,male,36.5,0,2,26.0,F2,S,Mr
702,3,female,21.0,0,0,7.75,,Q,Miss
676,3,male,18.0,0,0,7.75,,S,Mr
375,2,male,28.0,0,0,13.0,,S,Mr
185,1,male,42.0,0,0,26.55,,S,Mr
404,2,male,21.0,0,0,13.0,,S,Mr
706,3,female,,1,0,14.4583,,C,Mrs
1277,3,male,22.0,0,0,7.225,,C,Mr
401,2,female,27.0,1,0,13.8583,,C,Miss
856,3,female,,0,0,7.75,,Q,Miss
1063,3,male,41.0,0,0,7.125,,S,Mr
441,2,female,55.0,0,0,16.0,,S,Mrs
132,1,male,24.0,0,0,79.2,B86,C,Mr
745,3,female,30.0,0,0,6.95,,Q,Miss
173,1,male,32.5,0,0,211.5,C132,C,Mr
690,3,male,22.0,0,0,7.7958,,S,Mr
825,3,male,9.0,5,2,46.9,,S,Master
827,3,male,11.0,5,2,46.9,,S,Master
428,2,female,24.0,0,2,14.5,,S,Mrs
915,3,male,22.0,0,0,7.5208,,S,Mr
1288,3,male,18.0,1,0,6.4958,,S,Mr
1126,3,female,28.0,0,0,7.8958,,S,Miss
718,3,male,20.0,0,0,7.05,,S,Mr
282,1,female,52.0,1,0,78.2667,D20,C,Mrs
96,1,male,50.0,1,0,106.425,C86,C,Mr
957,3,female,,3,1,25.4667,,S,Miss
635,3,male,25.0,1,0,17.8,,S,Mr
738,3,female,17.0,0,1,16.1,,S,Miss
499,2,male,30.0,0,0,13.0,,S,Mr
74,1,male,,0,0,52.0,A14,S,Mr
89,1,male,31.0,1,0,52.0,B71,S,Mr
984,3,female,,0,0,7.75,,Q,Miss
691,3,male,35.0,0,0,8.05,,S,Mr
1113,3,female,26.0,0,2,13.775,,S,Mrs
0,1,female,29.0,0,0,211.3375,B5,S,Miss
558,2,female,18.0,0,2,13.0,,S,Miss
683,3,male,40.0,1,1,15.5,,Q,Mr
392,2,female,24.0,1,0,27.7208,,C,Mrs
476,2,male,30.0,1,1,26.0,,S,Other
1159,3,female,,0,0,8.05,,S,Miss
519,2,male,28.0,0,0,13.5,,S,Mr
107,1,female,,0,0,31.6833,,S,Mrs
347,2,male,42.0,0,0,13.0,,S,Mr
1101,3,male,1.0,4,1,39.6875,,S,Master
1029,3,male,,1,0,24.15,,Q,Mr
223,1,male,,0,0,0.0,,S,Mr
1303,3,male,,0,0,14.4583,,C,Mr
327,2,male,25.0,0,0,10.5,,S,Mr
870,3,female,27.0,0,0,7.925,,S,Miss
102,1,female,23.0,0,1,83.1583,C54,C,Mrs
1086,3,female,31.0,0,0,7.8542,,S,Miss
620,3,male,32.0,0,0,22.525,,S,Mr
475,2,female,26.0,1,1,26.0,,S,Mrs
213,1,female,31.0,1,0,113.275,D36,C,Miss
707,3,male,28.0,0,0,7.7958,,S,Mr
135,1,male,71.0,0,0,34.6542,A5,C,Mr
852,3,female,,0,0,7.55,,S,Miss
246,1,male,55.0,1,0,59.4,,C,Mr
1290,3,female,47.0,1,0,7.0,,S,Mrs
1083,3,male,28.0,0,0,22.525,,S,Mr
1177,3,male,,8,2,69.55,,S,Mr
1032,3,male,,0,0,7.75,,Q,Mr
1096,3,male,2.0,3,1,21.075,,S,Master
1011,3,female,19.0,1,0,16.1,,S,Mrs
989,3,male,,0,0,8.05,,S,Mr
365,2,female,44.0,1,0,26.0,,S,Mrs
248,1,male,33.0,0,0,26.55,,S,Mr
736,3,male,59.0,0,0,7.25,,S,Mr
26,1,male,25.0,1,0,91.0792,B49,C,Mr
836,3,male,20.0,0,0,9.8458,,S,Mr
284,1,female,62.0,0,0,80.0,B28,,Mrs
417,2,male,26.0,0,0,10.5,,S,Mr
913,3,male,21.0,0,0,7.7958,,S,Mr
680,3,male,,0,0,7.225,,C,Mr
904,3,male,23.0,0,0,7.8958,,S,Mr
3,1,male,30.0,1,2,151.55,C22,S,Mr
134,1,female,,1,0,89.1042,C92,C,Mrs
837,3,male,37.0,2,0,7.925,,S,Mr
355,2,female,36.0,0,0,13.0,,S,Miss
292,1,male,48.0,1,0,52.0,C126,S,Mr
698,3,male,18.0,0,0,8.6625,,S,Mr
1136,3,female,,0,0,8.1125,,S,Mrs
1116,3,male,,0,0,8.05,,S,Mr
1261,3,female,63.0,0,0,9.5875,,S,Mrs
906,3,male,27.0,0,0,7.8542,,S,Mr
897,3,male,33.0,0,0,7.775,,S,Mr
1010,3,male,24.0,1,0,16.1,,S,Mr
228,1,male,18.0,1,0,108.9,C65,C,Mr
643,3,female,5.0,4,2,31.3875,,S,Miss
225,1,male,23.0,0,0,93.5,B24,S,Mr
226,1,male,29.0,1,0,66.6,C2,S,Mr
842,3,male,,1,0,19.9667,,S,Mr
369,2,female,29.0,1,0,26.0,,S,Mrs
1185,3,male,,2,0,21.6792,,C,Mr
844,3,male,28.0,1,0,15.85,,S,Mr
339,2,male,1.0,2,1,39.0,F4,S,Master
419,2,male,21.0,1,0,11.5,,S,Mr
1123,3,female,,0,2,22.3583,,C,Mrs
603,3,female,35.0,1,1,20.25,,S,Mrs
1180,3,female,,1,9,69.55,,S,Mrs
265,1,male,28.0,0,0,35.5,A6,S,Mr
454,2,male,42.0,0,0,13.0,,S,Mr
63,1,female,47.0,1,0,61.175,E31,S,Mrs
1127,3,male,19.0,0,0,7.8958,,S,Mr
1049,3,male,20.0,1,1,15.7417,,C,Mr
360,2,male,26.0,1,1,29.0,,S,Mr
237,1,male,,0,0,227.525,,C,Mr
650,3,female,17.0,0,0,14.4583,,C,Miss
112,1,female,28.0,3,2,263.0,C23,S,Miss
1238,3,male,25.0,0,0,7.7958,,S,Mr
1088,3,male,32.0,0,0,7.775,,S,Mr
532,2,male,41.0,0,0,13.0,,S,Other
577,2,female,31.0,0,0,21.0,,S,Miss
810,3,male,16.0,1,3,34.375,,S,Mr
126,1,male,37.0,1,0,53.1,C123,S,Mr
259,1,male,34.0,0,0,26.55,,S,Mr
1074,3,male,,0,0,7.75,,Q,Mr
148,1,male,45.0,1,0,83.475,C83,S,Mr
721,3,male,36.0,0,0,7.4958,,S,Mr
1038,3,male,,0,0,8.05,,S,Mr
376,2,male,24.0,0,0,10.5,,S,Mr
851,3,female,45.0,1,0,14.1083,,S,Mrs
896,3,male,49.0,0,0,0.0,,S,Mr
694,3,male,19.0,0,0,6.75,,Q,Mr
137,1,female,19.0,0,0,30.0,B42,S,Miss
1057,3,female,14.0,1,0,11.2417,,C,Miss
7,1,male,39.0,0,0,0.0,A36,S,Mr
502,2,female,41.0,0,1,19.5,,S,Mrs
854,3,male,,0,0,6.8583,,Q,Mr
631,3,male,26.0,0,0,7.775,,S,Mr
1120,3,male,25.0,1,0,7.775,,S,Mr
371,2,female,45.0,0,2,30.0,,S,Mrs
929,3,male,,1,0,7.75,,Q,Mr
29,1,male,28.0,0,0,26.55,C52,S,Mr
411,2,female,38.0,0,0,13.0,,S,Miss
407,2,female,29.0,1,0,26.0,,S,Mrs
1275,3,male,16.0,2,0,18.0,,S,Mr
357,2,male,42.0,0,0,13.0,,S,Other
353,2,female,20.0,1,0,26.0,,S,Miss
788,3,male,45.0,0,0,6.975,,S,Mr
153,1,female,24.0,0,0,83.1583,C54,C,Miss
566,2,male,41.0,0,0,15.0458,,C,Mr
542,2,female,33.0,0,2,26.0,,S,Mrs
343,2,male,34.0,0,0,13.0,D56,S,Mr
305,1,male,60.0,0,0,26.55,,S,Other
612,3,female,18.0,0,1,9.35,,S,Mrs
4,1,female,25.0,1,2,151.55,C22,S,Mrs
280,1,male,54.0,1,0,55.4417,C116,C,Mr
1121,3,male,,1,1,22.3583,,C,Master
1229,3,male,27.0,0,0,8.6625,,S,Mr
1266,3,male,36.0,1,1,24.15,,S,Mr
56,1,male,36.0,1,2,120.0,B96,S,Mr
400,2,female,34.0,1,1,32.5,,S,Mrs
572,2,female,28.0,0,0,12.65,,S,Mrs
962,3,male,,1,0,15.5,,Q,Mr
473,2,male,,0,0,0.0,,S,Mr
468,2,female,22.0,0,0,21.0,,S,Mrs
1044,3,female,,0,0,15.5,,Q,Miss
1058,3,female,29.0,0,0,7.925,,S,Miss
1237,3,male,24.0,0,0,7.7958,,S,Mr
1018,3,male,,0,0,8.05,,S,Mr
776,3,male,32.0,0,0,7.75,,Q,Mr
847,3,male,23.5,0,0,7.2292,,C,Mr
504,2,male,39.0,0,0,13.0,,S,Mr
534,2,female,19.0,0,0,26.0,,S,Mrs
720,3,male,24.0,0,0,7.25,,Q,Mr
903,3,female,,1,2,23.45,,S,Mrs
13,1,female,26.0,0,0,78.85,,S,Miss
648,3,male,21.0,0,0,7.225,,C,Mr
679,3,female,9.0,1,1,15.2458,,C,Miss
550,2,female,24.0,2,3,18.75,,S,Mrs
838,3,male,28.0,2,0,7.925,,S,Mr
1163,3,male,,0,0,24.15,,Q,Mr
781,3,male,33.0,0,0,7.8958,,C,Mr
300,1,male,61.0,0,0,33.5,B19,S,Mr
1062,3,male,21.0,0,0,7.8542,,S,Mr
1055,3,male,,0,0,7.8958,,S,Mr
945,3,male,,0,0,56.4958,,S,Mr
570,2,female,50.0,0,0,10.5,,S,Miss
163,1,female,35.0,1,0,52.0,,S,Mrs
636,3,female,18.0,1,0,17.8,,S,Mrs
666,3,female,45.0,0,1,14.4542,,C,Mrs
336,2,male,32.0,1,0,26.0,,S,Mr
59,1,female,,0,0,27.7208,,C,Mrs
1175,3,female,,8,2,69.55,,S,Miss
1219,3,male,,0,0,8.05,,S,Mr
53,1,male,17.0,0,0,47.1,,S,Mr
490,2,female,57.0,0,0,10.5,E77,S,Mrs
326,2,male,18.0,0,0,11.5,,S,Mr
449,2,female,54.0,1,3,23.0,,S,Mrs
855,3,male,11.0,0,0,18.7875,,C,Mr
1025,3,male,6.0,0,1,12.475,E121,S,Master
1016,3,male,,0,0,7.75,,Q,Mr
1107,3,male,21.0,0,0,8.6625,,S,Mr
823,3,female,31.0,1,1,20.525,,S,Mrs
939,3,female,36.0,0,2,12.1833,,S,Mrs
826,3,male,1.0,5,2,46.9,,S,Master
437,2,female,24.0,1,2,65.0,,S,Miss
670,3,male,26.0,0,0,7.775,,S,Mr
563,2,male,35.0,0,0,10.5,,S,Mr
1097,3,male,6.0,3,1,21.075,,S,Master
1224,3,male,21.0,0,0,8.05,,S,Mr
786,3,male,18.0,0,0,7.775,,S,Mr
873,3,male,42.0,0,0,7.65,F,S,Mr
1282,3,male,,0,0,8.05,,S,Mr
819,3,female,,0,0,7.75,,Q,Miss
219,1,male,,0,0,25.7417,,C,Mr
1196,3,male,29.0,0,0,9.5,,S,Mr
1006,3,female,,0,0,7.8792,,Q,Miss
820,3,male,9.0,0,2,20.525,,S,Master
586,2,female,29.0,1,0,26.0,,S,Mrs
941,3,male,25.0,0,0,7.2292,F,C,Mr
348,2,male,27.0,0,0,13.0,,S,Mr
1235,3,male,74.0,0,0,7.775,,S,Mr
463,2,male,22.0,2,0,31.5,,S,Mr
1220,3,male,32.0,0,0,8.05,,S,Mr
653,3,female,13.0,0,0,7.2292,,C,Miss
573,2,female,27.0,0,0,10.5,E101,S,Miss
647,3,female,45.0,0,0,7.225,,C,Mrs
595,2,male,,0,0,12.875,,S,Mr
890,3,male,22.0,0,0,7.7958,,S,Mr
470,2,male,35.0,0,0,12.35,,Q,Mr
800,3,female,,0,0,7.75,,Q,Miss
281,1,female,43.0,1,0,55.4417,C116,C,Mrs
932,3,female,22.0,2,0,8.6625,,S,Miss
732,3,male,30.0,0,0,8.05,,S,Mr
715,3,male,29.0,0,0,8.05,,S,Mr
832,3,female,43.0,1,6,46.9,,S,Mrs
951,3,male,29.0,0,0,7.775,,S,Mr
1037,3,female,,0,0,7.2292,,C,Mrs
455,2,male,63.0,1,0,26.0,,S,Mr
584,2,female,32.5,0,0,13.0,E101,S,Miss
147,1,male,,0,0,42.4,,S,Mr
160,1,female,44.0,0,1,57.9792,B18,C,Mrs
750,3,male,27.0,0,0,7.8958,,S,Mr
859,3,female,18.0,0,0,6.75,,Q,Miss
952,3,male,22.0,0,0,7.775,,S,Mr
1300,3,female,15.0,1,0,14.4542,,C,Mrs
628,3,female,11.0,4,2,31.275,,S,Miss
606,3,male,20.0,0,0,7.925,,S,Mr
164,1,male,35.0,0,0,26.55,,C,Mr
106,1,male,,0,0,221.7792,C95,S,Mr
1040,3,female,24.0,0,0,7.75,,Q,Miss
617,3,male,25.0,0,0,7.05,,S,Mr
1091,3,female,20.0,0,0,8.6625,,S,Miss
329,2,female,36.0,1,0,26.0,,S,Mrs
480,2,male,25.0,1,2,41.5792,,C,Mr
498,2,male,32.0,0,0,13.5,,S,Mr
1214,3,male,,0,0,8.6625,,S,Mr
93,1,male,53.0,1,1,81.8583,A34,S,Other
809,3,male,18.0,2,2,34.375,,S,Mr
433,2,male,30.0,0,0,10.5,,S,Mr
43,1,female,60.0,0,0,76.2917,D15,C,Mrs
860,3,female,26.0,0,0,7.925,,S,Miss
1144,3,male,2.0,4,1,29.125,,Q,Master
967,3,female,45.0,0,0,7.75,,S,Miss
710,3,female,37.0,0,0,7.75,,Q,Miss
1276,3,female,31.0,1,0,18.0,,S,Mrs
1245,3,male,,0,0,8.05,,S,Mr
765,3,female,33.0,1,2,20.575,,S,Mrs
885,3,male,17.0,1,0,7.0542,,S,Mr
556,2,male,27.0,0,0,26.0,,S,Mr
1242,3,male,,0,0,6.4375,,C,Mr
69,1,female,,0,1,55.0,E33,S,Mrs
514,2,male,2.0,1,1,26.0,F2,S,Master
509,2,male,39.0,0,0,26.0,,S,Mr
340,2,female,4.0,2,1,39.0,F4,S,Miss
221,1,male,65.0,0,1,61.9792,B30,C,Mr
146,1,female,49.0,1,0,76.7292,D33,C,Mrs
1053,3,male,,0,0,7.2292,,C,Mr
803,3,male,26.0,0,0,7.8792,,Q,Mr
508,2,male,54.0,0,0,14.0,,S,Other
1169,3,male,38.5,0,0,7.25,,S,Mr
176,1,female,,1,0,51.8625,D21,S,Mrs
804,3,male,,0,0,7.75,,Q,Mr
168,1,female,38.0,0,0,80.0,B28,,Miss
1131,3,male,32.0,0,0,8.05,E10,S,Mr
1199,3,male,,0,0,8.05,,S,Mr
129,1,female,35.0,0,0,211.5,C130,C,Miss
189,1,male,29.0,0,0,30.0,D6,S,Mr
136,1,male,53.0,0,0,28.5,C51,C,Other
894,3,male,4.0,1,1,11.1333,,S,Master
197,1,male,19.0,1,0,53.1,D30,S,Mr
290,1,male,52.0,1,1,79.65,E67,S,Mr
36,1,female,22.0,0,1,55.0,E33,S,Miss
767,3,male,,0,0,7.8958,,S,Mr
232,1,male,47.0,0,0,52.0,C110,S,Mr
645,3,male,23.0,0,0,7.7958,,S,Mr
33,1,female,58.0,0,0,26.55,C103,S,Miss
1263,3,male,11.5,1,1,14.5,,S,Master
1068,3,male,61.0,0,0,6.2375,,S,Mr
865,3,female,,0,0,7.75,,Q,Miss
341,2,female,12.0,2,1,39.0,F4,S,Miss
1085,3,male,,0,0,7.3125,,S,Mr
199,1,female,24.0,0,0,49.5042,C90,C,Mrs
429,2,male,44.0,0,0,13.0,,S,Mr
1289,3,male,21.0,1,0,6.4958,,S,Mr
876,3,male,,0,0,7.8958,,S,Mr
730,3,male,27.0,0,0,7.8958,,S,Mr
919,3,male,18.5,0,0,7.2292,,C,Mr
297,1,female,,0,0,79.2,,C,Mrs
73,1,female,22.0,0,0,151.55,,S,Miss
807,3,female,9.0,2,2,34.375,,S,Miss
547,2,male,23.0,0,0,15.0458,,C,Mr
949,3,male,26.0,0,0,56.4958,,S,Mr
1186,3,male,,2,0,21.6792,,C,Mr
821,3,male,33.0,1,1,20.525,,S,Mr
663,3,male,26.0,0,0,7.8958,,S,Mr
1176,3,male,,8,2,69.55,,S,Mr
623,3,female,6.0,4,2,31.275,,S,Miss
212,1,male,37.0,0,1,29.7,C118,C,Mr
1035,3,male,,1,1,15.2458,,C,Master
1184,3,male,,2,0,21.6792,,C,Mr
1211,3,female,45.0,1,4,27.9,,S,Mrs
727,3,male,70.5,0,0,7.75,,Q,Mr
701,3,male,17.0,0,0,8.6625,,S,Mr
1022,3,male,,0,0,7.8958,,S,Mr
1250,3,male,,0,0,7.8958,,S,Mr
234,1,male,38.0,0,0,0.0,,S,Other
1007,3,female,15.0,0,0,8.0292,,Q,Miss
978,3,male,27.0,0,0,8.6625,,S,Mr
67,1,female,30.0,0,0,86.5,B77,S,Miss
24,1,female,29.0,0,0,221.7792,C97,S,Miss
216,1,female,19.0,0,2,26.2833,D47,S,Miss
812,3,male,,0,0,7.75,,Q,Mr
735,3,female,36.0,0,2,15.9,,S,Mrs
111,1,female,24.0,3,2,263.0,C23,S,Miss
166,1,male,,0,0,30.6958,,C,Mr
1248,3,male,32.0,0,0,7.925,,S,Mr
207,1,female,33.0,1,0,90.0,C78,Q,Miss
274,1,male,45.0,1,1,134.5,E34,C,Mr
41,1,female,44.0,0,0,27.7208,B4,C,Mrs
591,2,female,5.0,1,2,27.75,,S,Miss
525,2,male,23.0,0,0,10.5,,S,Other
287,1,male,61.0,0,0,32.3208,D50,S,Mr
469,2,female,,0,0,12.35,E101,Q,Miss
121,1,female,,1,0,133.65,,S,Mrs
1304,3,female,14.5,1,0,14.4542,,C,Miss
928,3,female,,1,0,14.4542,,C,Mrs
673,3,male,20.0,0,0,4.0125,,C,Mr
1141,3,male,10.0,4,1,29.125,,Q,Master
886,3,female,,0,0,7.75,,Q,Miss
956,3,female,,3,1,25.4667,,S,Miss
25,1,male,25.0,0,0,26.0,,C,Mr
1134,3,male,24.0,0,0,8.6625,,S,Mr
149,1,female,35.0,1,0,83.475,C83,S,Mrs
925,3,male,44.0,0,0,8.05,,S,Mr
696,3,female,21.0,0,0,8.6625,,S,Miss
843,3,male,,1,0,19.9667,,S,Mr
889,3,male,26.0,0,0,7.775,,S,Mr
598,2,female,26.0,0,0,13.5,,S,Miss
1020,3,male,21.0,0,0,7.8958,,S,Mr
139,1,female,58.0,0,1,153.4625,C125,S,Mrs
749,3,female,28.0,1,1,14.4,,S,Mrs
1004,3,female,,0,0,7.7875,,Q,Miss
323,2,male,30.0,1,0,24.0,,C,Mr
180,1,female,39.0,0,0,211.3375,,S,Miss
450,2,male,50.0,0,0,13.0,,S,Mr
607,3,female,18.0,0,0,7.2292,,C,Mrs
1043,3,female,,1,0,15.5,,Q,Miss
296,1,female,39.0,1,1,110.8833,C68,C,Mrs
94,1,male,4.0,0,2,81.8583,A34,S,Master
1187,3,female,1.0,1,1,16.7,G6,S,Miss
637,3,male,24.0,0,0,7.775,,S,Mr
286,1,female,63.0,1,0,221.7792,C55,S,Mrs
488,2,male,50.0,1,0,26.0,,S,Mr
444,2,male,21.0,2,0,73.5,,S,Mr
275,1,female,40.0,1,1,134.5,E34,C,Mrs
806,3,female,21.0,2,2,34.375,,S,Miss
1152,3,male,50.0,1,0,14.5,,S,Mr
32,1,female,30.0,0,0,164.8667,C7,S,Miss
1104,3,male,16.0,4,1,39.6875,,S,Mr
307,1,male,21.0,0,1,77.2875,D26,S,Mr
770,3,male,36.0,0,0,7.25,,S,Mr
11,1,female,18.0,1,0,227.525,C62,C,Mrs
872,3,female,,0,0,8.05,,S,Miss
1067,3,female,22.0,0,0,7.75,,S,Miss
86,1,male,51.0,0,0,26.55,E17,S,Mr
778,3,female,30.0,0,0,12.475,,S,Miss
1060,3,female,18.0,0,0,7.775,,S,Miss
1297,3,male,,0,0,7.25,,S,Mr
1082,3,male,9.0,0,1,3.1708,,S,Master
1065,3,male,21.0,0,0,7.8,,S,Mr
782,3,male,65.0,0,0,7.75,,Q,Mr
562,2,female,30.0,0,0,12.35,,Q,Miss
209,1,male,30.0,1,0,57.75,C78,C,Mr
1172,3,female,,8,2,69.55,,S,Miss
739,3,male,44.0,0,1,16.1,,S,Mr
594,2,male,66.0,0,0,10.5,,S,Mr
123,1,male,60.0,1,1,79.2,B41,C,Mr
734,3,male,3.0,1,1,15.9,,S,Master
931,3,male,,0,0,7.7375,,Q,Mr
98,1,female,48.0,1,0,106.425,C86,C,Mrs
377,2,female,8.0,0,2,26.25,,S,Miss
130,1,female,22.0,0,1,59.4,,C,Miss
23,1,female,42.0,0,0,227.525,,C,Miss
1228,3,male,31.0,0,0,7.925,,S,Mr
555,2,male,25.0,0,0,13.0,,S,Mr
370,2,female,25.0,1,1,30.0,,S,Miss
383,2,male,21.0,0,0,11.5,,S,Mr
201,1,male,54.0,0,0,51.8625,E46,S,Mr
917,3,male,39.0,0,1,13.4167,,C,Mr
368,2,male,37.0,1,0,26.0,,S,Mr
973,3,male,,0,0,7.55,,S,Mr
387,2,female,48.0,0,2,36.75,,S,Mrs
816,3,male,,0,0,7.8958,,C,Mr
256,1,male,,0,0,26.0,,S,Mr
1119,3,male,22.0,0,0,7.25,,S,Mr
169,1,female,50.0,0,0,28.7125,C49,C,Miss
560,2,female,30.0,0,0,13.0,,S,Miss
373,2,female,28.0,1,0,26.0,,S,Mrs
909,3,male,32.0,0,0,7.925,,S,Mr
719,3,male,18.0,0,0,8.05,,S,Mr
791,3,male,17.0,1,1,7.2292,,C,Mr
954,3,male,,3,1,25.4667,,S,Master
1167,3,male,,0,0,7.7292,,Q,Mr
1204,3,male,21.0,0,0,7.925,,S,Mr
868,3,male,43.0,0,0,6.45,,S,Mr
972,3,male,28.0,0,0,56.4958,,S,Mr
1155,3,male,,0,0,7.775,,S,Mr
1274,3,male,31.0,3,0,18.0,,S,Mr
1071,3,female,,1,0,15.5,,Q,Mrs
964,3,male,39.0,0,0,24.15,,S,Mr
774,3,male,43.0,0,0,7.8958,,S,Mr
324,2,female,28.0,1,0,24.0,,C,Mrs
203,1,male,28.0,1,0,82.1708,,C,Mr
84,1,male,39.0,1,0,71.2833,C85,C,Mr
633,3,male,20.0,0,0,7.8542,,S,Mr
908,3,female,21.0,1,0,9.825,,S,Miss
611,3,male,0.8333,0,1,9.35,,S,Master
398,2,male,8.0,0,2,32.5,,S,Master
91,1,male,31.0,1,0,57.0,B20,S,Mr
1106,3,female,41.0,0,5,39.6875,,S,Mrs
430,2,female,6.0,0,1,33.0,,S,Miss
779,3,female,24.0,0,0,7.75,,Q,Miss
1143,3,male,7.0,4,1,29.125,,Q,Master
291,1,female,39.0,1,1,79.65,E67,S,Mrs
57,1,female,36.0,1,2,120.0,B96,S,Mrs
257,1,female,35.0,1,0,57.75,C28,C,Mrs
888,3,male,34.0,0,0,6.4958,,S,Mr
1272,3,male,47.0,0,0,9.0,,S,Mr
1066,3,male,28.5,0,0,7.2292,,C,Mr
388,2,female,28.0,0,0,13.0,,S,Miss
335,2,male,51.0,0,0,12.525,,S,Other
273,1,male,6.0,0,2,134.5,E34,C,Master
756,3,male,,1,0,16.1,,S,Mr
1077,3,female,,0,0,7.75,,Q,Miss
1262,3,male,,1,1,14.5,,S,Master
128,1,male,47.0,0,0,38.5,E63,S,Mr
802,3,male,,0,0,6.95,,Q,Mr
28,1,female,35.0,0,0,135.6333,C99,S,Miss
1207,3,male,10.0,3,2,27.9,,S,Master
882,3,male,,0,0,7.05,,S,Mr
510,2,male,16.0,0,0,10.5,,S,Mr
675,3,male,21.0,0,0,7.775,,S,Mr
151,1,male,27.0,0,0,76.7292,D49,C,Mr
244,1,male,36.0,0,0,40.125,A10,C,Mr
714,3,male,32.0,0,0,56.4958,,S,Mr
543,2,male,36.0,0,0,10.5,,S,Mr
544,2,male,34.0,1,0,21.0,,S,Mr
639,3,male,5.0,4,2,31.3875,,S,Master
697,3,female,30.0,0,0,8.6625,,S,Miss
423,2,male,34.0,0,0,13.0,,S,Mr
910,3,male,17.0,0,0,7.125,,S,Mr
1171,3,male,14.5,8,2,69.55,,S,Master
659,3,female,5.0,2,1,19.2583,,C,Miss
797,3,male,40.5,0,0,7.75,,Q,Mr
1286,3,female,38.0,0,0,7.2292,,C,Mrs
1201,3,male,22.0,0,0,7.2292,,C,Mr
99,1,female,48.0,1,0,39.6,A16,C,Mrs
850,3,male,21.0,0,0,7.8542,,S,Mr
448,2,male,36.0,0,0,13.0,,S,Mr
755,3,male,17.0,2,0,8.05,,S,Mr
976,3,male,,0,0,7.8792,,S,Mr
115,1,male,64.0,1,4,263.0,C23,S,Mr
777,3,male,19.0,0,0,8.05,,S,Mr
72,1,female,26.0,1,0,136.7792,C89,C,Mrs
845,3,female,24.0,1,0,15.85,,S,Mrs
537,2,male,34.0,0,0,13.0,,S,Mr
849,3,male,26.0,1,0,7.8542,,S,Mr
174,1,male,58.0,0,0,29.7,B37,C,Mr
87,1,male,27.0,0,0,30.5,,S,Mr
551,2,female,50.0,0,0,10.5,,S,Miss
705,3,male,,1,0,14.4583,,C,Mr
314,1,female,50.0,1,1,211.5,C80,C,Mrs
600,3,male,42.0,0,0,7.55,,S,Mr
1094,3,female,31.0,0,0,8.6833,,S,Mrs
599,2,female,24.0,0,0,13.0,,S,Mrs
277,1,female,,1,0,146.5208,B78,C,Mrs
1033,3,male,,0,0,7.775,,S,Mr
763,3,female,0.1667,1,2,20.575,,S,Miss
835,3,male,,0,0,8.05,,S,Mr
1216,3,female,,0,0,7.7333,,Q,Miss
559,2,female,20.0,0,0,36.75,,S,Miss
684,3,female,32.0,1,1,15.5,,Q,Mrs
